train_input_1,train_output_1
-9495969798,"8
9
7
9
6
9
5
9
4
-9"
-20008000,"0
0
0
8
0
0
0
-2"
-777777,"7
7
7
7
7
-7"
-9876,"6
7
8
-9"
-482,"2
8
-4"
-97,"7
-9"
-20,"0
-2"
0,0
19,"9
1"
620,"0
2
6"
24068,"8
6
0
4
2"
512000,"0
0
0
2
1
5"
8313227,"7
2
2
3
1
3
8"
30000000,"0
0
0
0
0
0
0
3"
9998887776,"6
7
7
7
8
8
8
9
9
9"
3126075,"5
7
0
6
2
1
3"
2663,"3
6
6
2"
476214,"4
1
2
6
7
4"
-26627377,"7
7
3
7
2
6
6
-2"
-499,"9
9
-4"
6276180,"0
8
1
6
7
2
6"
443110924,"4
2
9
0
1
1
3
4
4"
3249786028,"8
2
0
6
8
7
9
4
2
3"
-408,"8
0
-4"
-7895435,"5
3
4
5
9
8
-7"
30,"0
3"
84,"4
8"
1996,"6
9
9
1"
-1,-1
4111,"1
1
1
4"
46644673,"3
7
6
4
4
6
6
4"
-6931896,"6
9
8
1
3
9
-6"
-3609,"9
0
6
-3"
-41041083,"3
8
0
1
4
0
1
-4"
-33,"3
-3"
234005,"5
0
0
4
3
2"
-3303381,"1
8
3
3
0
3
-3"
658458,"8
5
4
8
5
6"
-19435654,"4
5
6
5
3
4
9
-1"
-2553202,"2
0
2
3
5
5
-2"
-4,-4
821,"1
2
8"
-54421,"1
2
4
4
-5"
7,7
7532354230,"0
3
2
4
5
3
2
3
5
7"
62158154,"4
5
1
8
5
1
2
6"
1762193430,"0
3
4
3
9
1
2
6
7
1"
47,"7
4"
4706366,"6
6
3
6
0
7
4"
-592933879,"9
7
8
3
3
9
2
9
-5"
-70,"0
-7"
6,6
3181,"1
8
1
3"
-74629054,"4
5
0
9
2
6
4
-7"
-760,"0
6
-7"
-26,"6
-2"
-3925438,"8
3
4
5
2
9
-3"
6652024550,"0
5
5
4
2
0
2
5
6
6"
-75325080,"0
8
0
5
2
3
5
-7"
-5075152018,"8
1
0
2
5
1
5
7
0
-5"
6285786315,"5
1
3
6
8
7
5
8
2
6"
87919672,"2
7
6
9
1
9
7
8"
9,9
-2,-2
-9264504008,"8
0
0
4
0
5
4
6
2
-9"
-62,"2
-6"
-69,"9
-6"
-9854893,"3
9
8
4
5
8
-9"
924,"4
2
9"
24904363,"3
6
3
4
0
9
4
2"
-8,-8
-828429,"9
2
4
8
2
-8"
468367,"7
6
3
8
6
4"
85028,"8
2
0
5
8"
9098,"8
9
0
9"
-3006565452,"2
5
4
5
6
5
6
0
0
-3"
23406,"6
0
4
3
2"
3,3
2795,"5
9
7
2"
-3,-3
-4619288941,"1
4
9
8
8
2
9
1
6
-4"
173549,"9
4
5
3
7
1"
-145009,"9
0
0
5
4
-1"
1264428,"8
2
4
4
6
2
1"
-507534,"4
3
5
7
0
-5"
-824990,"0
9
9
4
2
-8"
-135370,"0
7
3
5
3
-1"
95400260,"0
6
2
0
0
4
5
9"
-991395888,"8
8
8
5
9
3
1
9
-9"
-50,"0
-5"
210533635,"5
3
6
3
3
5
0
1
2"
-797443453,"3
5
4
3
4
4
7
9
-7"
128,"8
2
1"
-71,"1
-7"
5826326141,"1
4
1
6
2
3
6
2
8
5"
68,"8
6"
81668069,"9
6
0
8
6
6
1
8"
-924,"4
2
-9"
